| **LEG-RPG-012** | RPG-CORE | Melee legality (Adjacency) | `actions/combat.py` | `tests/` | `src_v2/engine/legality.py` | `tests_v2/parity/` | `test_interaction_parity.py` | SUPPORTED | DIVERGENT | Hardened engagement rules. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-013** | RPG-CORE | Ranged legality (Range + LOS) | `actions/combat.py` | `tests/` | `src_v2/engine/legality.py` | `tests_v2/parity/` | `test_interaction_parity.py` | SUPPORTED | DIVERGENT | Explicit LoS check in v2. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-014** | RPG-CORE | AoE legality (Center/Radius) | `combat/` | `tests/` | `src_v2/engine/interaction.py` | `tests_v2/parity/` | `test_interaction_parity.py` | SUPPORTED | DIVERGENT | Unified AoE system in v2. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-021** | RPG-CORE | Tactical choice as legal choice | `ai/tactical/` | `tests/` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | RETIRED | No geometry exploits allowed. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-031** | RPG-CORE | Guild visits (Intel/Leads) | `core/buildings.py` | `test_building_unification.py` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | RETIRED | Strategic lead emission. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-033** | RPG-CORE | Building explicit gameplay | `core/buildings.py` | `tests/` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | RETIRED | InteractionSystem ownership. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-036** | RPG-CORE | Project continuity (Margin) | `ai/test_bounded_project_continuity.py` | `tests/` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | `UNSUPPORTED` | DIVERGENT | Explicit margin logic in v2. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-039** | RPG-CORE | Lead retention cap | `ai/strategy/` | `tests/` | `src_v2/systems/strategic.py` | `tests_v2/` | `test_resource_intelligence_contract.py` | SUPPORTED | DIVERGENT | Profile-capped intake. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-040** | RPG-CORE | Concern retention cap | `ai/strategy/` | `tests/` | `src_v2/systems/strategic.py` | `tests_v2/` | `test_resource_intelligence_contract.py` | SUPPORTED | DIVERGENT | Profile-capped concerns. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-041** | RPG-CORE | Detour suggestions (Bounded) | `ai/strategy/detour_suggestion.py` | `tests/` | `src_v2/systems/strategic.py` | `tests_v2/` | `test_resource_intelligence_contract.py` | SUPPORTED | DIVERGENT | Bounded depth/breadth. | CERTIFICATION | Phase 5 | None | Verification suite pass |
| **LEG-RPG-042** | RPG-CORE | Rejected lead suppression | `ai/test_bounded_detours.py` | `tests/` | `src_v2/systems/strategic.py` | `tests_v2/` | `test_resource_intelligence_contract.py` | SUPPORTED | DIVERGENT | Prevents blind loop retry. | CERTIFICATION | Phase 5 | None | Verification suite pass |
